incident_id,incidentEndDate,incidentBeginDate,count,bucket,states,UTC
106,2015-06-22,2015-05-04,48682,9.0,TX|KS|OK|NE|AR|SD,UTC-6
262,2013-05-11,2013-05-01,53387,10.0,CA,UTC-8
280,2014-08-14,2014-07-09,51782,10.0,WA|OR,UTC-8
133,2015-02-22,2015-02-15,50871,10.0,TN|GA,UTC-5
63,2012-07-10,2012-06-29,59786,11.0,WV|VA|MD|OH|DC,UTC-5
181,2014-07-11,2014-06-11,57413,11.0,MN|SD|IA,UTC-6
281,2014-08-26,2014-07-31,58461,11.0,OR|CA|WA,UTC-8
168,2013-05-05,2013-04-16,62103,12.0,IL|IA,UTC-6
169,2013-05-14,2013-04-16,64596,12.0,MI,UTC-5
72,2013-07-11,2013-06-26,64988,12.0,PA,UTC-5
85,2014-01-09,2014-01-05,60684,12.0,IN,UTC-5
272,2014-01-22,2014-01-16,61111,12.0,CA,UTC-8
67,2013-02-11,2013-02-08,67550,13.0,RI|ME|MA|CT|NH|NY,UTC-5
285,2014-10-03,2014-09-13,66804,13.0,CA|OR,UTC-8
239,2011-12-31,2011-08-30,73213,14.0,TX|OK,UTC-6
192,2015-10-23,2015-10-01,72045,14.0,SC,UTC-5
113,2015-10-23,2015-10-01,73480,14.0,SC,UTC-5
131,2014-02-19,2014-02-10,84370,16.0,GA|SC,UTC-5
195,2016-01-09,2015-12-22,81451,16.0,MO,UTC-6
174,2013-07-11,2013-06-25,89550,17.0,VT|NY,UTC-5
88,2014-05-06,2014-04-27,89792,17.0,AR|MS|AL|FL,UTC-5
329,2011-09-14,2011-08-24,92827,18.0,MD|NC|NY|DE|NH|VA|MA|CT|NJ|RI|DC|VT|PA|ME,UTC-5
132,2014-03-07,2014-03-02,93990,18.0,TN|NC,UTC-5
114,2015-10-31,2015-10-22,98114,19.0,TX,UTC-6
107,2015-07-27,2015-05-15,108167,21.0,MO,UTC-6
111,2015-07-20,2015-07-10,108352,21.0,WV|KY,UTC-6
331,2012-09-11,2012-08-26,124936,24.0,LA|MS|AL|FL,UTC-5
295,2015-10-30,2015-09-09,151068,30.0,CA|OR|WA,UTC-8
71,2013-06-16,2013-05-17,157605,31.0,ND|IA|SD|MO|AR,UTC-6
196,2016-04-08,2016-03-07,180575,36.0,TX|LA|MS,UTC-6
292,2015-08-02,2015-07-17,206696,41.0,CA,UTC-8
332,2012-11-08,2012-10-26,264720,52.0,PA|NH|NJ|RI|MD|VA|DC|NY|CT|DE|MA|WV|OH,UTC-5
270,2013-10-24,2013-08-05,292804,58.0,CA|WA|ID|UT|OR|MT,UTC-8
119,2016-01-22,2015-12-22,333099,66.0,GA|MS|AL|AR|OK,UTC-6
293,2015-09-12,2015-07-29,404224,80.0,WA|CA|OR|AZ|ID,UTC-8
